# Copyright (C) 1991-2007 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 7.2 Build 151 09/26/2007 SJ Full Version
# File: D:\v1.21\DE2_70_TOP.csv
# Generated on: Wed Nov 14 23:36:20 2007

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

From,To,Assignment Name,Value,Enabled
,oHEX3_D[0],Location,PIN_P6,Yes
,oHEX3_D[1],Location,PIN_P4,Yes
,oHEX3_D[2],Location,PIN_N10,Yes
,oHEX3_D[3],Location,PIN_N7,Yes
,oHEX3_D[4],Location,PIN_M8,Yes
,oHEX3_D[5],Location,PIN_M7,Yes
,oHEX3_D[6],Location,PIN_M6,Yes
,oHEX3_DP,Location,PIN_M4,Yes
,oHEX4_D[0],Location,PIN_P1,Yes
,oHEX4_D[1],Location,PIN_P2,Yes
,oHEX4_D[2],Location,PIN_P3,Yes
,oHEX4_D[3],Location,PIN_N2,Yes
,oHEX4_D[4],Location,PIN_N3,Yes
,oHEX4_D[5],Location,PIN_M1,Yes
,oHEX4_D[6],Location,PIN_M2,Yes
,oHEX4_DP,Location,PIN_L6,Yes
,oHEX5_D[0],Location,PIN_M3,Yes
,oHEX5_D[1],Location,PIN_L1,Yes
,oHEX5_D[2],Location,PIN_L2,Yes
,oHEX5_D[3],Location,PIN_L3,Yes
,oHEX5_D[4],Location,PIN_K1,Yes
,oHEX5_D[5],Location,PIN_K4,Yes
,oHEX5_D[6],Location,PIN_K5,Yes
,oHEX5_DP,Location,PIN_K6,Yes
,oHEX6_D[0],Location,PIN_H6,Yes
,oHEX6_D[1],Location,PIN_H4,Yes
,oHEX6_D[2],Location,PIN_H7,Yes
,oHEX6_D[3],Location,PIN_H8,Yes
,oHEX6_D[4],Location,PIN_G4,Yes
,oHEX6_D[5],Location,PIN_F4,Yes
,oHEX6_D[6],Location,PIN_E4,Yes
,oHEX6_DP,Location,PIN_K2,Yes
,oHEX7_D[0],Location,PIN_K3,Yes
,oHEX7_D[1],Location,PIN_J1,Yes
,oHEX7_D[2],Location,PIN_J2,Yes
,oHEX7_D[3],Location,PIN_H1,Yes
,oHEX7_D[4],Location,PIN_H2,Yes
,oHEX7_D[5],Location,PIN_H3,Yes
,oHEX7_D[6],Location,PIN_G1,Yes
,oHEX7_DP,Location,PIN_G2,Yes
,oI2C_SCLK,Location,PIN_J18,Yes
,I2C_SDAT,Location,PIN_H18,Yes
,iIRDA_RXD,Location,PIN_W22,Yes
,oIRDA_TXD,Location,PIN_W21,Yes
,iKEY[0],Location,PIN_T29,Yes
,iKEY[1],Location,PIN_T28,Yes
,iKEY[2],Location,PIN_U30,Yes
,iKEY[3],Location,PIN_U29,Yes
,oLCD_BLON,Location,PIN_G3,Yes
,LCD_D[0],Location,PIN_E1,Yes
,LCD_D[1],Location,PIN_E3,Yes
,LCD_D[2],Location,PIN_D2,Yes
,LCD_D[3],Location,PIN_D3,Yes
,LCD_D[4],Location,PIN_C1,Yes
,LCD_D[5],Location,PIN_C2,Yes
,LCD_D[6],Location,PIN_C3,Yes
,LCD_D[7],Location,PIN_B2,Yes
,oLCD_EN,Location,PIN_E2,Yes
,oLCD_ON,Location,PIN_F1,Yes
,oLCD_RS,Location,PIN_F2,Yes
,oLCD_RW,Location,PIN_F3,Yes
,oLEDR[0],Location,PIN_AJ6,Yes
,oLEDR[1],Location,PIN_AK5,Yes
,oLEDR[10],Location,PIN_AC13,Yes
,oLEDR[11],Location,PIN_AB13,Yes
,oLEDR[12],Location,PIN_AC12,Yes
,oLEDR[13],Location,PIN_AB12,Yes
,oLEDR[14],Location,PIN_AC11,Yes
,oLEDR[15],Location,PIN_AD9,Yes
,oLEDR[16],Location,PIN_AD8,Yes
,oLEDR[17],Location,PIN_AJ7,Yes
,oLEDG[8],Location,PIN_AC14,Yes
,oLEDG[0],Location,PIN_W27,Yes
,oLEDR[2],Location,PIN_AJ5,Yes
,oLEDG[1],Location,PIN_W25,Yes
,oLEDG[2],Location,PIN_W23,Yes
,oLEDG[3],Location,PIN_Y27,Yes
,oLEDG[4],Location,PIN_Y24,Yes
,oLEDG[5],Location,PIN_Y23,Yes
,oLEDG[6],Location,PIN_AA27,Yes
,oLEDG[7],Location,PIN_AA24,Yes
,oLEDR[3],Location,PIN_AJ4,Yes
,oLEDR[4],Location,PIN_AK3,Yes
,oLEDR[5],Location,PIN_AH4,Yes
,oLEDR[6],Location,PIN_AJ3,Yes
,oLEDR[7],Location,PIN_AJ2,Yes
,oLEDR[8],Location,PIN_AH3,Yes
,oLEDR[9],Location,PIN_AD14,Yes
,oOTG_A[0],Location,PIN_E9,Yes
,oOTG_A[1],Location,PIN_D8,Yes
,oOTG_CS_N,Location,PIN_E10,Yes
,OTG_D[0],Location,PIN_H10,Yes
,OTG_D[1],Location,PIN_G9,Yes
,OTG_D[10],Location,PIN_D6,Yes
,OTG_D[11],Location,PIN_E7,Yes
,OTG_D[12],Location,PIN_D7,Yes
,OTG_D[13],Location,PIN_E8,Yes
,OTG_D[14],Location,PIN_D9,Yes
,OTG_D[15],Location,PIN_G10,Yes
,OTG_D[2],Location,PIN_G11,Yes
,OTG_D[3],Location,PIN_F11,Yes
,OTG_D[4],Location,PIN_J12,Yes
,OTG_D[5],Location,PIN_H12,Yes
,OTG_D[6],Location,PIN_H13,Yes
,OTG_D[7],Location,PIN_G13,Yes
,OTG_D[8],Location,PIN_D4,Yes
,OTG_D[9],Location,PIN_D5,Yes
,oOTG_DACK0_N,Location,PIN_D12,Yes
,oOTG_DACK1_N,Location,PIN_E12,Yes
,iOTG_DREQ0,Location,PIN_G12,Yes
,iOTG_DREQ1,Location,PIN_F12,Yes
,OTG_FSPEED,Location,PIN_F7,Yes
,iOTG_INT0,Location,PIN_F13,Yes
,iOTG_INT1,Location,PIN_J13,Yes
,OTG_LSPEED,Location,PIN_F8,Yes
,oOTG_OE_N,Location,PIN_D10,Yes
,oOTG_RESET_N,Location,PIN_H14,Yes
,oOTG_WE_N,Location,PIN_E11,Yes
,PS2_KBCLK,Location,PIN_F24,Yes
,PS2_KBDAT,Location,PIN_E24,Yes
,PS2_MSCLK,Location,PIN_D26,Yes
,PS2_MSDAT,Location,PIN_D25,Yes
,oSD_CLK,Location,PIN_T26,Yes
,SD_CMD,Location,PIN_W28,Yes
,SD_DAT,Location,PIN_W29,Yes
,SD_DAT3,Location,PIN_Y30,Yes
,oSRAM_A[0],Location,PIN_AG8,Yes
,oSRAM_A[1],Location,PIN_AF8,Yes
,oSRAM_A[10],Location,PIN_AF14,Yes
,oSRAM_A[11],Location,PIN_AG14,Yes
,oSRAM_A[12],Location,PIN_AE15,Yes
,oSRAM_A[13],Location,PIN_AF15,Yes
,oSRAM_A[14],Location,PIN_AC16,Yes
,oSRAM_A[15],Location,PIN_AF20,Yes
,oSRAM_A[16],Location,PIN_AG20,Yes
,oSRAM_A[17],Location,PIN_AE11,Yes
,oSRAM_A[18],Location,PIN_AF11,Yes
,oSRAM_A[2],Location,PIN_AH7,Yes
,oSRAM_A[3],Location,PIN_AG7,Yes
,oSRAM_A[4],Location,PIN_AG6,Yes
,oSRAM_A[5],Location,PIN_AG5,Yes
,oSRAM_A[6],Location,PIN_AE12,Yes
,oSRAM_A[7],Location,PIN_AG12,Yes
,oSRAM_A[8],Location,PIN_AD13,Yes
,oSRAM_A[9],Location,PIN_AE13,Yes
,oSRAM_ADSC_N,Location,PIN_AG17,Yes
,oSRAM_ADSP_N,Location,PIN_AC18,Yes
,oSRAM_ADV_N,Location,PIN_AD16,Yes
,oSRAM_BE_N[0],Location,PIN_AC21,Yes
,oSRAM_BE_N[1],Location,PIN_AC20,Yes
,oSRAM_BE_N[2],Location,PIN_AD20,Yes
,oSRAM_BE_N[3],Location,PIN_AH20,Yes
,oSRAM_CE1_N,Location,PIN_AH19,Yes
,oSRAM_CE2,Location,PIN_AG19,Yes
,oSRAM_CE3_N,Location,PIN_AD22,Yes
,oSRAM_CLK,Location,PIN_AD7,Yes
,SRAM_DPA[0],Location,PIN_AK9,Yes
,SRAM_DPA[1],Location,PIN_AJ23,Yes
,SRAM_DPA[2],Location,PIN_AK20,Yes
,SRAM_DPA[3],Location,PIN_AJ9,Yes
,SRAM_DQ[0],Location,PIN_AH10,Yes
,SRAM_DQ[1],Location,PIN_AJ10,Yes
,SRAM_DQ[10],Location,PIN_AH17,Yes
,SRAM_DQ[11],Location,PIN_AJ18,Yes
,SRAM_DQ[12],Location,PIN_AH18,Yes
,SRAM_DQ[13],Location,PIN_AK19,Yes
,SRAM_DQ[14],Location,PIN_AJ19,Yes
,SRAM_DQ[15],Location,PIN_AK23,Yes
,SRAM_DQ[16],Location,PIN_AJ20,Yes
,SRAM_DQ[17],Location,PIN_AK21,Yes
,SRAM_DQ[18],Location,PIN_AJ21,Yes
,SRAM_DQ[19],Location,PIN_AK22,Yes
,SRAM_DQ[2],Location,PIN_AK10,Yes
,SRAM_DQ[20],Location,PIN_AJ22,Yes
,SRAM_DQ[21],Location,PIN_AH15,Yes
,SRAM_DQ[22],Location,PIN_AJ15,Yes
,SRAM_DQ[23],Location,PIN_AJ16,Yes
,SRAM_DQ[24],Location,PIN_AK14,Yes
,SRAM_DQ[25],Location,PIN_AJ14,Yes
,SRAM_DQ[26],Location,PIN_AJ13,Yes
,SRAM_DQ[27],Location,PIN_AH13,Yes
,SRAM_DQ[28],Location,PIN_AK12,Yes
,SRAM_DQ[29],Location,PIN_AK7,Yes
,SRAM_DQ[3],Location,PIN_AJ11,Yes
,SRAM_DQ[30],Location,PIN_AJ8,Yes
,SRAM_DQ[31],Location,PIN_AK8,Yes
,SRAM_DQ[4],Location,PIN_AK11,Yes
,SRAM_DQ[5],Location,PIN_AH12,Yes
,SRAM_DQ[6],Location,PIN_AJ12,Yes
,SRAM_DQ[7],Location,PIN_AH16,Yes
,SRAM_DQ[8],Location,PIN_AK17,Yes
,SRAM_DQ[9],Location,PIN_AJ17,Yes
,oSRAM_GW_N,Location,PIN_AG18,Yes
,oSRAM_OE_N,Location,PIN_AD18,Yes
,oSRAM_WE_N,Location,PIN_AF18,Yes
,iSW[0],Location,PIN_AA23,Yes
,iSW[1],Location,PIN_AB26,Yes
,iSW[10],Location,PIN_W5,Yes
,iSW[11],Location,PIN_V10,Yes
,iSW[12],Location,PIN_U9,Yes
,iSW[13],Location,PIN_T9,Yes
,iSW[14],Location,PIN_L5,Yes
,iSW[15],Location,PIN_L4,Yes
,iSW[16],Location,PIN_L7,Yes
,iSW[17],Location,PIN_L8,Yes
,iSW[2],Location,PIN_AB25,Yes
,iSW[3],Location,PIN_AC27,Yes
,iSW[4],Location,PIN_AC26,Yes
,iSW[5],Location,PIN_AC24,Yes
,iSW[6],Location,PIN_AC23,Yes
,iSW[7],Location,PIN_AD25,Yes
,iSW[8],Location,PIN_AD24,Yes
,iSW[9],Location,PIN_AE27,Yes
,iTD1_CLK27,Location,PIN_G15,Yes
,iTD1_D[0],Location,PIN_A6,Yes
,iTD1_D[1],Location,PIN_B6,Yes
,iTD1_D[2],Location,PIN_A5,Yes
,iTD1_D[3],Location,PIN_B5,Yes
,iTD1_D[4],Location,PIN_B4,Yes
,iTD1_D[5],Location,PIN_C4,Yes
,iTD1_D[6],Location,PIN_A3,Yes
,iTD1_D[7],Location,PIN_B3,Yes
,iTD1_HS,Location,PIN_E13,Yes
,oTD1_RESET_N,Location,PIN_D14,Yes
,iTD1_VS,Location,PIN_E14,Yes
,iTD2_CLK27,Location,PIN_H15,Yes
,iTD2_D[0],Location,PIN_C10,Yes
,iTD2_D[1],Location,PIN_A9,Yes
,iTD2_D[2],Location,PIN_B9,Yes
,iTD2_D[3],Location,PIN_C9,Yes
,iTD2_D[4],Location,PIN_A8,Yes
,iTD2_D[5],Location,PIN_B8,Yes
,iTD2_D[6],Location,PIN_A7,Yes
,iTD2_D[7],Location,PIN_B7,Yes
,iTD2_HS,Location,PIN_E15,Yes
,oTD2_RESET_N,Location,PIN_B10,Yes
,iTD2_VS,Location,PIN_D15,Yes
,oUART_CTS,Location,PIN_G22,Yes
,iUART_RTS,Location,PIN_F23,Yes
,iUART_RXD,Location,PIN_D21,Yes
,oUART_TXD,Location,PIN_E21,Yes
,oVGA_B[0],Location,PIN_B16,Yes
,oVGA_B[1],Location,PIN_C16,Yes
,oVGA_B[2],Location,PIN_A17,Yes
,oVGA_B[3],Location,PIN_B17,Yes
,oVGA_B[4],Location,PIN_C18,Yes
,oVGA_B[5],Location,PIN_B18,Yes
,oVGA_B[6],Location,PIN_B19,Yes
,oVGA_B[7],Location,PIN_A19,Yes
,oVGA_B[8],Location,PIN_C19,Yes
,oVGA_B[9],Location,PIN_D19,Yes
,oVGA_BLANK_N,Location,PIN_C15,Yes
,oVGA_CLOCK,Location,PIN_D24,Yes
,oVGA_G[0],Location,PIN_A10,Yes
,oVGA_G[1],Location,PIN_B11,Yes
,oVGA_G[2],Location,PIN_A11,Yes
,oVGA_G[3],Location,PIN_C12,Yes
,oVGA_G[4],Location,PIN_B12,Yes
,oVGA_G[5],Location,PIN_A12,Yes
,oVGA_G[6],Location,PIN_C13,Yes
,oVGA_G[7],Location,PIN_B13,Yes
,oVGA_G[8],Location,PIN_B14,Yes
,oVGA_G[9],Location,PIN_A14,Yes
,oVGA_HS,Location,PIN_J19,Yes
,oVGA_R[0],Location,PIN_D23,Yes
,oVGA_R[1],Location,PIN_E23,Yes
,oVGA_R[2],Location,PIN_E22,Yes
,oVGA_R[3],Location,PIN_D22,Yes
,oVGA_R[4],Location,PIN_H21,Yes
,oVGA_R[5],Location,PIN_G21,Yes
